[Tue Jun 24 10:06:35.063012 2014] [:error] [pid 4008:tid 1808] [client ::1:51640] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:06:35.063012 2014] [:error] [pid 4008:tid 1808] [client ::1:51640] PHP Warning:  mysql_fetch_row() expects parameter 1 to be resource, boolean given in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 41, referer: http://localhost/login_user.php
[Tue Jun 24 10:06:54.975151 2014] [:error] [pid 4008:tid 1804] [client ::1:51654] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:07:14.270255 2014] [:error] [pid 4008:tid 1796] [client ::1:51664] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:07:51.123363 2014] [:error] [pid 4008:tid 1808] [client ::1:51676] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:07:51.123363 2014] [:error] [pid 4008:tid 1808] [client ::1:51676] PHP Warning:  mysql_fetch_row() expects parameter 1 to be resource, boolean given in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 41, referer: http://localhost/login_user.php
[Tue Jun 24 10:08:26.478385 2014] [:error] [pid 4008:tid 1772] [client ::1:51690] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:08:26.478385 2014] [:error] [pid 4008:tid 1772] [client ::1:51690] PHP Warning:  mysql_fetch_row() expects parameter 1 to be resource, boolean given in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 41, referer: http://localhost/login_user.php
[Tue Jun 24 10:09:01.580392 2014] [:error] [pid 4008:tid 1788] [client ::1:51701] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:09:01.581393 2014] [:error] [pid 4008:tid 1788] [client ::1:51701] PHP Warning:  mysql_fetch_row() expects parameter 1 to be resource, boolean given in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 41, referer: http://localhost/login_user.php
[Tue Jun 24 10:09:17.877325 2014] [:error] [pid 4008:tid 1796] [client ::1:51713] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:27:44.915644 2014] [:error] [pid 4008:tid 1780] [client ::1:52037] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:27:44.915644 2014] [:error] [pid 4008:tid 1780] [client ::1:52037] PHP Warning:  mysql_fetch_row() expects parameter 1 to be resource, boolean given in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 41, referer: http://localhost/login_user.php
[Tue Jun 24 10:37:51.417333 2014] [:error] [pid 4008:tid 1808] [client ::1:52162] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:40:40.046979 2014] [:error] [pid 4008:tid 1796] [client ::1:52189] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:41:11.276765 2014] [:error] [pid 4008:tid 1780] [client ::1:52201] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:46:19.558397 2014] [:error] [pid 4008:tid 1808] [client ::1:52233] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:46:29.388960 2014] [:error] [pid 4008:tid 1772] [client ::1:52237] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:46:32.214121 2014] [:error] [pid 4008:tid 1772] [client ::1:52237] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:46:34.772268 2014] [:error] [pid 4008:tid 1772] [client ::1:52237] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:46:36.823385 2014] [:error] [pid 4008:tid 1772] [client ::1:52237] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:46:39.371531 2014] [:error] [pid 4008:tid 1772] [client ::1:52237] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:46:42.049684 2014] [:error] [pid 4008:tid 1772] [client ::1:52237] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 10:46:59.465680 2014] [:error] [pid 4008:tid 1772] [client ::1:52263] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
